"SampleNumber","CAN","CAN Raw Data","CAN Bit Sequence","CANH"
"32651","","0","52","1"
"32701","","0","53","1"
"32751","","0","54","1"
"32801","","0","55","1"
"32851","000","0","56","1"
"32901","","S","S","0"
"32951","","0","57","1"
"33001","","0","58","1"
"33051","","0","59","1"
"33101","","0","60","1"
"33151","","0","61","1"
"33201","","S","S","0"
"33251","","0","62","1"
"33301","","0","63","1"
"33351","000","0","64","1"
"33401","","0","65","1"
"33451","","0","66","1"
"33501","","S","S","0"
"33551","","0","67","1"
"33601","","0","68","1"
"33651","","0","69","1"
"33701","","0","70","1"
"33751","","0","71","1"
"33801","","S","S","0"
"33851","008","0","72","1"
"33901","","0","73","1"
"33951","","0","74","1"
"34001","","0","75","1"
"34051","","1","76","0"
"34101","","0","77","1"
"34151","","0","78","1"
"34201","","0","79","1"
"34251","000","0","80","1"
"34301","","0","81","1"
"34351","","S","S","0"
"34401","","0","82","1"
"34451","","0","83","1"
"34501","","0","84","1"
"34551","","0","85","1"
"34601","","0","86","1"
"34651","","S","S","0"
"34701","","0","87","1"
"34751","000","0","88","1"
"34801","","0","89","1"
"34851","","0","90","1"
"34901","","0","91","1"
"34951","","S","S","0"
"35001","","0","92","1"
"35051","","0","93","1"
"35101","","0","94","1"
"35151","","0","95","1"
"35201","À","1","96","0"
"35251","","1","97","0"
"35302","","0","98","1"
"35352","","0","99","1"
"35402","","0","100","1"
"35452","","0","101","1"
"35502","","0","102","1"
"35551","","S","S","0"
"35601","","0","103","1"
"35651","C:23302","1","104","0"
"35701","","0","105","1"
"35751","","1","106","0"
"35801","","1","107","0"
"35852","","0","108","1"
"35901","","1","109","0"
"35951","","1","110","0"
"36002","","0","111","1"
"36052","","0","112","1"
"36102","","0","113","1"
"36152","","0","114","1"
"36202","","0","115","1"
"36251","","S","S","0"
"36301","","1","116","0"
"36351","","1","117","0"
"36402","","0","118","1"
"36451","","1","119","0"
"36501","N","1","120","0"
"36551","","1","121","0"
"36601","EF","1","122","0"
"36651","","1","123","0"
"36701","","1","124","0"
"36751","","1","125","0"
"36801","","1","126","0"
"36851","","1","127","0"
"36901","","1","128","0"
"36951","IM","1","129","0"
"37001","","1","130","0"
"37051","","1","131","0"
"37802","D:268522852","0","1","1"
"37851","","1","2","0"
"37902","","0","3","1"
"37952","","0","4","1"
"38002","","0","5","1"
