"SampleNumber","CAN","CAN Raw Data","CAN Bit Sequence","CANH"
"129002","","0","58","1"
"129052","","0","59","1"
"129102","","0","60","1"
"129152","","0","61","1"
"129202","","S","S","0"
"129252","","0","62","1"
"129302","","0","63","1"
"129352","000","0","64","1"
"129402","","0","65","1"
"129452","","0","66","1"
"129502","","S","S","0"
"129552","","0","67","1"
"129602","","0","68","1"
"129652","","0","69","1"
"129702","","0","70","1"
"129752","","0","71","1"
"129802","","S","S","0"
"129852","008","0","72","1"
"129902","","0","73","1"
"129952","","0","74","1"
"130002","","0","75","1"
"130052","","1","76","0"
"130102","","0","77","1"
"130152","","0","78","1"
"130202","","0","79","1"
"130252","000","0","80","1"
"130302","","0","81","1"
"130352","","S","S","0"
"130402","","0","82","1"
"130452","","0","83","1"
"130502","","0","84","1"
"130552","","0","85","1"
"130602","","0","86","1"
"130652","","S","S","0"
"130702","","0","87","1"
"130752","000","0","88","1"
"130802","","0","89","1"
"130852","","0","90","1"
"130902","","0","91","1"
"130952","","S","S","0"
"131002","","0","92","1"
"131052","","0","93","1"
"131102","","0","94","1"
"131152","","0","95","1"
"131202","À","1","96","0"
"131252","","1","97","0"
"131303","","0","98","1"
"131353","","0","99","1"
"131403","","0","100","1"
"131453","","0","101","1"
"131503","","0","102","1"
"131552","","S","S","0"
"131603","","0","103","1"
"131652","C:23302","1","104","0"
"131703","","0","105","1"
"131752","","1","106","0"
"131802","","1","107","0"
"131853","","0","108","1"
"131902","","1","109","0"
"131952","","1","110","0"
"132003","","0","111","1"
"132053","","0","112","1"
"132103","","0","113","1"
"132153","","0","114","1"
"132203","","0","115","1"
"132252","","S","S","0"
"132302","","1","116","0"
"132352","","1","117","0"
"132403","","0","118","1"
"132452","","1","119","0"
"132502","N","1","120","0"
"132552","","1","121","0"
"132602","EF","1","122","0"
"132652","","1","123","0"
"132702","","1","124","0"
"132752","","1","125","0"
"132802","","1","126","0"
"132852","","1","127","0"
"132902","","1","128","0"
"132952","IM","1","129","0"
"133002","","1","130","0"
"133052","","1","131","0"
"133803","D:268522852","0","1","1"
"133852","","1","2","0"
"133903","","0","3","1"
"133953","","0","4","1"
"134003","","0","5","1"
"134053","","0","6","1"
"134103","","0","7","1"
"134152","","S","S","0"
"134203","","0","8","1"
"134253","","0","9","1"
"134303","","0","10","1"
"134353","","0","11","1"
"134403","","0","12","1"
"134452","","S","S","0"
"134502","","1","13","0"
"134552","","1","14","0"
"134603","","0","15","1"
"134652","","1","16","0"
"134703","","0","17","1"
"134752","","1","18","0"
"134803","","0","19","1"
"134852","","1","20","0"
"134903","","0","21","1"
"134952","","1","22","0"
"135003","","0","23","1"
"135052","","1","24","0"
"135103","","0","25","1"
"135152","","1","26","0"
"135202","","1","27","0"
"135253","","0","28","1"
"135303","","0","29","1"
"135352","","1","30","0"
"135403","","0","31","1"
"135453","","0","32","1"
"135503","","0","33","1"
"135553","","0","34","1"
"135603","","0","35","1"
"135652","","S","S","0"
"135702","L:8","1","36","0"
"135753","","0","37","1"
"135803","","0","38","1"
"135853","","0","39","1"
"135903","000","0","40","1"
"135953","","0","41","1"
"136002","","S","S","0"
"136053","","0","42","1"
"136103","","0","43","1"
"136153","","0","44","1"
"136203","","0","45","1"
"136253","","0","46","1"
"136302","","S","S","0"
"136353","","0","47","1"
"136403","000","0","48","1"
"136453","","0","49","1"
"136503","","0","50","1"
"136553","","0","51","1"
"136602","","S","S","0"
"136653","","0","52","1"
"136703","","0","53","1"
"136753","","0","54","1"
"136803","","0","55","1"
"136853","000","0","56","1"
"136902","","S","S","0"
"136953","","0","57","1"
"137003","","0","58","1"
"137053","","0","59","1"
"137103","","0","60","1"
"137153","","0","61","1"
"137202","","S","S","0"
"137253","","0","62","1"
"137303","","0","63","1"
"137353","000","0","64","1"
"137403","","0","65","1"
"137453","","0","66","1"
"137502","","S","S","0"
"137553","","0","67","1"
"137603","","0","68","1"
"137653","","0","69","1"
"137703","","0","70","1"
"137753","","0","71","1"
"137802","","S","S","0"
"137853","008","0","72","1"
"137903","","0","73","1"
"137953","","0","74","1"
"138003","","0","75","1"
"138052","","1","76","0"
"138103","","0","77","1"
"138153","","0","78","1"
"138203","","0","79","1"
"138253","000","0","80","1"
"138303","","0","81","1"
"138352","","S","S","0"
"138403","","0","82","1"
"138453","","0","83","1"
"138503","","0","84","1"
"138553","","0","85","1"
"138603","","0","86","1"
"138652","","S","S","0"
"138703","","0","87","1"
"138753","000","0","88","1"
"138803","","0","89","1"
"138853","","0","90","1"
"138903","","0","91","1"
"138952","","S","S","0"
"139003","","0","92","1"
"139053","","0","93","1"
"139103","","0","94","1"
"139153","","0","95","1"
"139202","À","1","96","0"
"139252","","1","97","0"
"139303","","0","98","1"
"139353","","0","99","1"
"139403","","0","100","1"
"139453","","0","101","1"
"139503","","0","102","1"
"139552","","S","S","0"
"139603","","0","103","1"
"139652","C:23302","1","104","0"
"139703","","0","105","1"
"139752","","1","106","0"
"139802","","1","107","0"
"139853","","0","108","1"
"139902","","1","109","0"
"139952","","1","110","0"
"140003","","0","111","1"
"140053","","0","112","1"
"140103","","0","113","1"
"140153","","0","114","1"
"140203","","0","115","1"
"140253","","S","S","0"
"140303","","1","116","0"
"140353","","1","117","0"
"140403","","0","118","1"
"140453","","1","119","0"
"140503","N","1","120","0"
"140553","","1","121","0"
"140603","EF","1","122","0"
"140653","","1","123","0"
"140703","","1","124","0"
"140753","","1","125","0"
"140803","","1","126","0"
"140853","","1","127","0"
"140903","","1","128","0"
"140953","IM","1","129","0"
"141003","","1","130","0"
"141053","","1","131","0"
"141804","","","","1"
"141811","","","","1"
